PG.Qvalue	PG.ProteinGroups	PG.ProteinAccessions	PG.ProteinDescriptions	PG.ProteinNames	PG.FastaFiles	PG.NrOfPrecursorsIdentified (Experiment-wide)	[1] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S1.raw.PG.Quantity	[2] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S2.raw.PG.Quantity	[3] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S3.raw.PG.Quantity	[4] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S4.raw.PG.Quantity	[5] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S5.raw.PG.Quantity	[6] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S6.raw.PG.Quantity	[7] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S7.raw.PG.Quantity	[8] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S8.raw.PG.Quantity	[9] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S9.raw.PG.Quantity	[1] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S1.raw.PG.IBAQ	[2] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S2.raw.PG.IBAQ	[3] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S3.raw.PG.IBAQ	[4] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S4.raw.PG.IBAQ	[5] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S5.raw.PG.IBAQ	[6] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S6.raw.PG.IBAQ	[7] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S7.raw.PG.IBAQ	[8] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S8.raw.PG.IBAQ	[9] 20260130_MK_DONAU_RNOJO_noFAIMS_uPAC50_68min_2041_DIA_MS2_500ng_S9.raw.PG.IBAQ
0	A1A258	A1A258	DNA topoisomerase (ATP-hydrolyzing)	A1A258_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	27	36548,6875	77540,1875	40149,98828125	54277,6328125	40523,484375	49857,8046875	3407,703857421875	NaN	NaN	7318,3	10142,4	8374,3	9036,9	8150,1	9601	7,6	NaN	NaN
1	A1A258_Decoy	A1A258	NaN	A1A258	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A1A259	A1A259	RNA polymerase sigma factor SigA	A1A259_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	2	10776,2216796875	16626,228515625	14395,4794921875	12330,05859375	10686,0625	13839,220703125	1519,3463134765625	1504,6715087890625	2708,357177734375	718,1	1585,4	1061,1	1026,3	910,1	1092	101,2	142,8	206,4
1	A1A259_Decoy	A1A259	NaN	A1A259	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,004919423240033927	A1A261	A1A261	Probably bifunctional short chain isoprenyl diphosphate synthase	A1A261_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	6	3950,78125	5072,19873046875	4695,25	5324,78076171875	5076,43505859375	6334,783203125	NaN	NaN	NaN	782,1	915,2	925,3	988,9	981	1103,1	NaN	NaN	NaN
0,0008635578583765112	A1A262	A1A262	non-specific serine/threonine protein kinase	A1A262_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	2	11499,1806640625	12463,44921875	13289,3642578125	13801,7138671875	14250,49609375	18695,892578125	NaN	57344,91015625	NaN	353,7	383,4	408,8	424,5	438,4	601,5	NaN	81	NaN
0	A1A263	A1A263	Phospholipid/glycerol acyltransferase domain-containing protein	A1A263_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	9	5692,3388671875	5197,00390625	5080,90869140625	6272,5283203125	5283,703125	6935,9375	2117,79296875	904,57470703125	1062,278564453125	1698,2	1475,3	1472,1	1674,8	2289,5	1803,4	441,6	158,9	53,7
0,001610305958132045	A1A267	A1A267	Anthranilate phosphoribosyltransferase	A1A267_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	2	1173,67236328125	2249,721923828125	2262,7109375	3067,981201171875	2295,156005859375	3340,645751953125	NaN	151,24908447265625	714,7542724609375	146,6	281,4	282,6	399	292,3	420,5	NaN	10,9	51,4
0	A1A268	A1A268	Protein translocase subunit SecA	SECA_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	37	54865,80078125	55132,7734375	51037,8046875	68661,015625	54060,8046875	68666,4296875	9299,5703125	6568,3671875	8489,0625	10820	16129,9	11558,7	15424	11436,1	15636,2	559,7	458,3	815,3
1	A1A268_Decoy	A1A268	NaN	A1A268	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A1A269	A1A269	Ribosome hibernation promoting factor	A1A269_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	25	128033,1328125	186270,515625	136009,96875	203925,390625	120044,3671875	208466,984375	22456,08984375	21773,736328125	45907,01171875	59141,199	136066,906	185403,203	162831,703	119213,703	198803,297	7885,8	6571,2	15610,8
1	A1A269_Decoy	A1A269	NaN	A1A269	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A1A272	A1A272	Protein RecA	A1A272_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	11	27130,703125	32519,3125	27171,85546875	41256,30859375	35459,5234375	39448,87890625	5388,77490234375	4442,373046875	5610,54296875	6885	7753,2	7106,4	10728,9	9374,7	9759,8	1069,5	906,3	1236,6
1	A1A272_Decoy	A1A272	NaN	A1A272	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A1A274	A1A274	Possible DNA binding protein	A1A274_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	4	5691,0390625	6726,0615234375	5906,478515625	6721,4609375	5038,27001953125	7041,216796875	NaN	NaN	NaN	2071,1	2499,5	2232,8	2342,7	1702,7	2392,8	NaN	NaN	NaN
5,5772448410485224E-05	A1A275	A1A275	CinA-like protein	A1A275_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	1	NaN	8150,4072265625	33714,2578125	22366,9375	16736,267578125	24122,43359375	NaN	NaN	NaN	NaN	627	2593,4	1720,5	1287,4	1855,6	NaN	NaN	NaN
0,002106002106002106	A1A279	A1A279	tRNA dimethylallyltransferase	MIAA_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	2	652,369140625	1043,651123046875	445,5604248046875	1122,2369384765625	807,568603515625	1321,0379638671875	NaN	NaN	NaN	82,8	168,4	71,9	38,6	27,8	45,5	NaN	NaN	NaN
0,001610305958132045	A1A280	A1A280	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase	MIAB_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	5	6278,95166015625	3956,32275390625	2955,844970703125	5074,26220703125	3597,8935546875	5066,69140625	NaN	NaN	NaN	925,8	449,7	457	747,2	368,3	876,1	NaN	NaN	NaN
0,0004419889502762431	A1A281	A1A281	RelA/SpoT domain-containing protein	A1A281_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	5	2448,31640625	6402,72509765625	4053,036865234375	5838,666015625	3962,626220703125	5910,86572265625	NaN	NaN	NaN	595	835,5	1094,7	1611,6	976,8	1311,5	NaN	0	NaN
0	A1A2A0	A1A2A0	Aconitate hydratase	A1A2A0_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	39	209602,484375	275089,9375	122081,4296875	255831,875	156796,828125	216788,375	113015,4453125	35908,58984375	46010,09375	40212,602	53215,898	43109,5	48522,301	41338,398	48008,801	9724,9	1293,2	1249,3
1	A1A2A0_Decoy	A1A2A0	NaN	A1A2A0	NaN	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,0022699493626680634	A1A2A1	A1A2A1	Probable cation-transporting ATPase	A1A2A1_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	3	2564,815673828125	2829,19775390625	2743,240234375	2891,861083984375	2513,334228515625	3321,27587890625	NaN	NaN	NaN	74,4	161,6	123,5	113,6	139,1	135	NaN	NaN	NaN
0,001610305958132045	A1A2A3	A1A2A3	Hypothetical RNA methyltransferase	A1A2A3_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	5	11243,9052734375	10319,93359375	8361,423828125	13021,283203125	11677,3349609375	13178,6552734375	1272,0518798828125	486,9802551269531	NaN	1520,3	1292,3	1369,4	1968	1689,3	1962,9	120,6	46,2	NaN
1	A1A2A3_Decoy	A1A2A3	NaN	A1A2A3	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,00022862368541380886	A1A2A5	A1A2A5	DUF3710 domain-containing protein	A1A2A5_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	11	6174,30712890625	8115,2138671875	8013,4130859375	10541,919921875	8629,06640625	8872,611328125	1116,4093017578125	NaN	685,4711303710938	3280,9	4329,6	4127,8	5126,2	3793,2	4403,3	108	NaN	80,8
1	A1A2A5_Decoy	A1A2A5	NaN	A1A2A5	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,00598702810577083	A1A2A6	A1A2A6	Possible exodeoxyribonuclease	A1A2A6_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	3	4849,83544921875	5507,5380859375	2459,10595703125	2952,87353515625	1819,281005859375	3076,885986328125	NaN	NaN	NaN	170,4	376,2	594,1	478,2	8,7	528,3	NaN	NaN	NaN
1	A1A2A6_Decoy	A1A2A6	NaN	A1A2A6	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A1A2A7	A1A2A7	Dipeptide transport ATP-binding protein	A1A2A7_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	32	31441,552734375	47075,73046875	36816,234375	46652,94921875	37393,48828125	47825,09375	6955,6171875	6522,1142578125	7846,0263671875	5583,5	8681	7932,6	8157,4	7165,9	9464	1255,2	1113,5	1503,7
1	A1A2A7_Decoy	A1A2A7	NaN	A1A2A7	NaN	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A1A2A8	A1A2A8	Probable permease protein of ABC-transporter for peptides	A1A2A8_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	4	9406,962890625	17094,837890625	10858,765625	14137,7744140625	13775,796875	14563,759765625	NaN	NaN	NaN	2680,1	4207,6	3058,5	3111,7	3971,8	3329,9	NaN	NaN	NaN
0,06915032679738563	A1A2A9	A1A2A9	Probable permease protein of ABC-transporter for peptides	A1A2A9_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A1A2B0	A1A2B0	ABC-type transporter	A1A2B0_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	28	66222,4375	63405,40234375	68198,890625	94426,6484375	68320,9140625	88289,4140625	3863,281005859375	1948,5179443359375	4944,69091796875	10179,1	13284,3	13220	15880,3	13094,1	18338,699	95,3	114,1	121,2
1	A1A2B0_Decoy	A1A2B0	NaN	A1A2B0	NaN	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,24745203836930454	A1A2B1	A1A2B1	Tyrosine recombinase XerC	A1A2B1_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,0008635578583765112	A1A2B2	A1A2B2	ABC transporter ATP-binding protein	A1A2B2_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	5	66099,734375	87168,796875	58584,2421875	90497,2734375	43125,28125	92554,7734375	NaN	NaN	NaN	15540,5	17020,6	548	15351,3	1423,7	21858,6	NaN	NaN	NaN
0,001610305958132045	A1A2B3	A1A2B3	ABC transport system integral membrane protein	A1A2B3_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	4	1915,958251953125	1482,130615234375	1912,7391357421875	2154,483154296875	1384,3126220703125	2184,800537109375	NaN	1096,489013671875	4687,572265625	111,3	114,5	109,5	131,8	85,7	145	NaN	24,5	104,5
1	A1A2B3_Decoy	A1A2B3	NaN	A1A2B3	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,004107613856163179	A1A2B4	A1A2B4	Probable prephenate dehydrogenase	A1A2B4_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	1	2863,53369140625	1437,43212890625	3502,696533203125	5274,23876953125	3100,314697265625	1664,314208984375	NaN	NaN	NaN	143,2	71,9	175,1	263,7	155	83,2	NaN	NaN	NaN
0	A1A2B7	A1A2B7	Large ribosomal subunit assembly factor BipA	A1A2B7_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	14	445606,6875	493829,25	442851,21875	550559,1875	465319,34375	607114	34168,2265625	38929,6796875	45023,9140625	45863,5	48060,5	43043,602	54208,898	55114,102	54010,898	899,7	371,3	498,4
1	A1A2B7_Decoy	A1A2B7	NaN	A1A2B7	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,001610305958132045	A1A2B8	A1A2B8	Probable sugar transporter	A1A2B8_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	2	775,2238159179688	5134,8828125	2580,27783203125	4052,560302734375	3519,978271484375	4496,04052734375	NaN	NaN	NaN	66,7	502,8	221,9	348,5	302,7	432,3	NaN	NaN	NaN
0,6308902877697842	A1A2B9	A1A2B9	Nudix hydrolase domain-containing protein	A1A2B9_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,001610305958132045	A1A2C0	A1A2C0	AAA domain-containing protein	A1A2C0_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	3	8637,7880859375	7070,42578125	4290,51611328125	6929,8056640625	4269,94384765625	8544,3994140625	NaN	NaN	1618,944580078125	1359,8	1029,7	1007,9	1299,3	761,9	1554,4	NaN	NaN	60,6
0	A1A2C2	A1A2C2	Large ribosomal subunit protein bL20	RL20_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	16	196984,53125	441766,96875	306296,4375	447032,25	255535,875	508981,25	109095,1484375	75796,3203125	118203,984375	99114,703	230456,297	172630,797	238497,203	157355,297	262365,906	40191,301	29010,4	44111,699
1	A1A2C2_Decoy	A1A2C2	NaN	A1A2C2	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,001610305958132045	A1A2C3	A1A2C3	Large ribosomal subunit protein bL35	RL35_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	2	NaN	1047,3837890625	7109,78564453125	297,40155029296875	1463,090087890625	6671,31201171875	283,5759582519531	965,4344482421875	2060,478515625	NaN	349,1	2592,1	99,1	487,7	2223,8	94,5	321,8	686,8
0,0008635578583765112	A1A2C4	A1A2C4	Translation initiation factor IF-3	A1A2C4_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	7	13669,5712890625	18415,5546875	13194,103515625	16310,3583984375	11572,7939453125	16582,640625	3050,58984375	NaN	1944,63330078125	3114,3	4253,9	3399,1	4303,4	3047,4	4178,3	502,6	NaN	243,9
1	A1A2C4_Decoy	A1A2C4	NaN	A1A2C4	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A1A2C5	A1A2C5	asparagine synthase (glutamine-hydrolyzing)	A1A2C5_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	9	7154,45458984375	9208,26171875	8295,169921875	9129,6083984375	7861,41845703125	10830,009765625	1332,74609375	688,074951171875	2074,173095703125	1230,8	1438,3	1325,7	1503,1	1336,2	1692,6	73	34,5	123,6
1	A1A2C5_Decoy	A1A2C5	NaN	A1A2C5	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A1A2C7	A1A2C7	Glyceraldehyde 3-phosphate dehydrogenase C	A1A2C7_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	51	7969720	8615237	7653916	9597233	8629771	10073329	953297,375	552617,375	953404,4375	1443042,5	2248773	1586847,125	2134841,5	1927535,25	2177882,75	87005,703	44338	87563,398
1	A1A2C7_Decoy	A1A2C7	NaN	A1A2C7	NaN	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,0024292903001908728	A1A2C9	A1A2C9	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	A1A2C9_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	2	5002,1103515625	10416,7080078125	6596,30224609375	7403,771484375	6378,98388671875	6289,78466796875	NaN	NaN	NaN	643,3	952,1	846,4	676,7	813,9	574,9	NaN	NaN	NaN
0	A1A2D0	A1A2D0	Aldose 1-epimerase	A1A2D0_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	7	8378,7431640625	26273,125	21444,134765625	24722,791015625	20209,1484375	26080,55859375	5341,02734375	1799,73291015625	3702,743408203125	3504,8	8062,6	6908,1	7488,6	6736,1	8545,3	827,9	297,6	775
1	A1A2D0_Decoy	A1A2D0	NaN	A1A2D0	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,003253882267966775	A1A2D2	A1A2D2	RNA polymerase sigma-E factor	A1A2D2_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	1	NaN	NaN	735,55859375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61,3	NaN	NaN	NaN	NaN	NaN	NaN
0	A1A2D3	A1A2D3	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase	A1A2D3_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	15	6584,30029296875	9009,3720703125	7345,89697265625	13236,265625	9874,7353515625	12789,216796875	1439,890625	1487,338134765625	2533,09619140625	1599,7	3755	2976,2	4301	2472	4234,8	145,4	185,5	261,1
1	A1A2D3_Decoy	A1A2D3	NaN	A1A2D3	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A1A2D4	A1A2D4	ATP-grasp domain-containing protein	A1A2D4_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	11	9282,263671875	12747,6279296875	10252,076171875	13582,8896484375	11745,5556640625	14201,638671875	3023,254638671875	2205,146240234375	2918,12353515625	3186,3	5011,8	4119,4	5331,6	5055,7	5473,7	655	871,3	803,3
1	A1A2D4_Decoy	A1A2D4	NaN	A1A2D4	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A1A2D5	A1A2D5	Aspartate racemase	A1A2D5_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	2	7563,94287109375	6681,701171875	8244,0654296875	7586,49072265625	4864,2197265625	6053,3662109375	NaN	NaN	NaN	1668,5	1497,2	1764,6	1748,3	1174,8	1368,1	NaN	NaN	NaN
0	A1A2D6	A1A2D6	tetrahydrofolate synthase	A1A2D6_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	8	6459,455078125	8113,080078125	5592,47119140625	8490,8701171875	7864,44677734375	8549,6123046875	NaN	2270,111328125	1971,328369140625	1484,1	2646,6	1727,4	1951,3	1493,1	2096,2	NaN	23,1	131,1
0,001610305958132045	A1A2D7	A1A2D7	Xaa-Pro aminopeptidase	A1A2D7_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	6	11876,7734375	10705,34375	14048,951171875	14345,7158203125	10397,0625	17156,6796875	2085,03369140625	NaN	1926,5394287109375	1022,7	1362	4163	1824,1	1081,2	4145,9	123,5	NaN	114,1
0,006129746296611612	A1A2D8	A1A2D8	Nudix hydrolase domain-containing protein	A1A2D8_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	1	869,41796875	1982,036865234375	649,0208740234375	2356,879150390625	2007,5438232421875	2103,993896484375	NaN	NaN	NaN	108,7	247,8	81,1	294,6	250,9	263	NaN	NaN	NaN
0	A1A2D9	A1A2D9	ATP binding protein of ABC transporter	A1A2D9_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	15	21352,66015625	19737,947265625	20735,916015625	22311,041015625	22396,328125	21805,185546875	6521,7529296875	NaN	5371,08203125	8659,7	9994	9074,1	10174,1	8265,1	9651,7	27,2	1028,1	421,9
0,01834139264990329	A1A2E0	A1A2E0	Probable permease of ABC transporter for peptides	A1A2E0_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A1A2E2	A1A2E2	Probable solute-binding protein of ABC transporter for peptides	A1A2E2_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	14	18790,794921875	20707,0625	19040,82421875	21124,599609375	17740,61328125	22959,943359375	3201,4345703125	1225,7408447265625	1517,8819580078125	4016,5	5377,9	5093,4	5336,7	4430,7	5944,2	97,8	317,5	87,3
1	A1A2E2_Decoy	A1A2E2	NaN	A1A2E2	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0,031898111410887164	A1A2E3	A1A2E3	Probable transcriptional repressor in the Rok (NagC/XylR) family	A1A2E3_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A1A2E4	A1A2E4	Protein in PfkB family of sugar kinases	A1A2E4_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	6	41170,984375	67347,9296875	56437,37890625	52899,46484375	36430,9921875	60430,95703125	9929,2734375	5702,015625	9721,873046875	9800,4	13413,4	12061,7	11786,2	8341,4	13002,3	1246,6	1087,3	1611,9
1	A1A2E4_Decoy	A1A2E4	NaN	A1A2E4	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A1A2E6	A1A2E6	Pyridoxamine 5'-phosphate oxidase N-terminal domain-containing protein	A1A2E6_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	22	187162,140625	267177,5625	209546,734375	298802,3125	164260,46875	272061,90625	109886,421875	48296,8046875	104624,3515625	90972,398	171334,297	135692	211705,5	105659,797	181247,703	75808,797	22988,6	67705,398
1	A1A2E6_Decoy	A1A2E6	NaN	A1A2E6	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	A1A2E8	A1A2E8	UDP-N-acetylmuramate--L-alanine ligase	MURC_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	11	13742,0625	14596,4462890625	14953,9130859375	17942,265625	12966,69921875	17547,408203125	NaN	NaN	NaN	2845,4	2933,1	2861,9	3556,5	2250	3408,7	NaN	NaN	NaN
0,001610305958132045	A1A2E9	A1A2E9	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	MURG_BIFAA	uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01	6	8947,1162109375	8255,6015625	7669,58740234375	9567,3154296875	7616,86962890625	9435,2998046875	NaN	NaN	764,689697265625	2133,6	2101,4	1627,3	2305,2	1195,8	2362,8	NaN	NaN	76,5
1	A1A2E9_Decoy	A1A2E9	NaN	A1A2E9	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
